Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
Linjär algebra med geometri (Samläsning) (TATA67 2021-01-11 Lin 1086746),2020,HT,4.05,3.85,4.55,2.81,4.42,3.35,TATA67
"Linjär algebra, överkurs (Samläsning) (TATA53 2020-06-01 Lin 1087233)",2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,TATA53
Linjära system (TSBB32 2020-06-01 Lin 1096589),2020,VT,4.5,4.4,4.5,4.1,4.56,4.3,TSBB32
Litteraturfördjupning inom Folkhälsovetenskap (8MM335 2020-06-01 Lin 1355170),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,8MM335
Litteraturfördjupning inom Logopedi (8MM333 2021-01-11 Lin 1269302),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8MM333
"Litteraturfördjupning inom Omvårdnadsvetenskap (Samläsning) (8MM332, 8MM333, 8MM334, 8MM335, 8MM336 2020-03-21 Lin 1100573)",2020,VT,5.0,4.75,5.0,4.75,5.0,4.75,8MM332
"Litteraturfördjupning inom Omvårdnadsvetenskap (Samläsning) (8MM332, 8MM333, 8MM334, 8MM335, 8MM336 2020-03-21 Lin 1100573)",2020,VT,5.0,4.75,5.0,4.75,5.0,4.75,8MM333
"Litteraturfördjupning inom Omvårdnadsvetenskap (Samläsning) (8MM332, 8MM333, 8MM334, 8MM335, 8MM336 2020-03-21 Lin 1100573)",2020,VT,5.0,4.75,5.0,4.75,5.0,4.75,8MM334
"Litteraturfördjupning inom Omvårdnadsvetenskap (Samläsning) (8MM332, 8MM333, 8MM334, 8MM335, 8MM336 2020-03-21 Lin 1100573)",2020,VT,5.0,4.75,5.0,4.75,5.0,4.75,8MM335
"Litteraturfördjupning inom Omvårdnadsvetenskap (Samläsning) (8MM332, 8MM333, 8MM334, 8MM335, 8MM336 2020-03-21 Lin 1100573)",2020,VT,5.0,4.75,5.0,4.75,5.0,4.75,8MM336
Litteraturfördjupning med valbar inriktning inom logopedi (8FA149 2020-11-02 Lin 936508),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8FA149
Litteraturfördjupning med valbar inriktning inom logopedi (8FA149 2020-12-07 Lin 936510),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8FA149
Litteraturkurs med valbar inriktning inom fysioterapi (8FA256 2020-10-26 Lin 937254),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8FA256
Litteraturkurs med valbar inriktning inom fysioterapi (8FA256 2021-01-11 Lin 937256),2020,HT,5.0,5.0,5.0,4.0,5.0,5.0,8FA256
Litteraturkurs med valbar inriktning inom fysioterapi (8MM232 2020-10-26 Lin 1269268),2020,HT,5.0,4.0,5.0,4.0,5.0,4.0,8MM232
"Litteraturkurs med valbar inriktning inom fysioterapi (Samläsning) (8FA256, 8MM232 2020-03-23 Lin 1101175)",2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,8FA256
"Litteraturkurs med valbar inriktning inom fysioterapi (Samläsning) (8FA256, 8MM232 2020-03-23 Lin 1101175)",2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,8MM232
"Litteraturkurs med valbar inriktning inom fysioterapi (Samläsning) (8MM232, 8FYA20 2020-06-01 Lin 835601)",2020,VT,5.0,5.0,5.0,4.0,5.0,4.0,8MM232
"Litteraturkurs med valbar inriktning inom fysioterapi (Samläsning) (8MM232, 8FYA20 2020-06-01 Lin 835601)",2020,VT,5.0,5.0,5.0,4.0,5.0,4.0,8FYA20
"Litteraturvetenskap 1, grundkurs (716G30 2020-06-01 Lin 928436)",2020,VT,4.33,4.33,4.33,4.33,4.33,4.67,716G30
"Litteraturvetenskap 1, grundkurs (716G30 2021-01-18 Lin 931667)",2020,HT,4.57,4.5,4.57,3.57,4.14,4.0,716G30
"Litteraturvetenskap 2, fortsättningskurs (716G32 2020-06-01 Lin 1088791)",2020,VT,4.5,4.5,4.5,4.0,4.5,4.0,716G32
"Litteraturvetenskap 2, fortsättningskurs (716G32 2021-01-18 Lin 1266780)",2020,HT,5.0,5.0,5.0,3.0,5.0,5.0,716G32
Litteraturvetenskap 3 (707G09 2020-10-19 Lin 1269425),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,707G09
"Litteraturvetenskap 3, fördjupningskurs (716G17 2020-06-01 Lin 928408)",2020,VT,4.0,4.0,4.0,3.0,4.0,4.0,716G17
"Litteraturvetenskap 3, fördjupningskurs (716G36 2021-01-18 Lin 1266766)",2020,HT,4.4,3.6,4.4,3.4,4.4,3.8,716G36
Litteraturvetenskap med mediehistoriska perspektiv (707G06 2020-06-01 Lin 912966),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,707G06
Litteraturvetenskap och medier (707G01 2021-01-18 Lin 1266140),2020,HT,4.18,4.11,4.44,3.67,4.35,3.83,707G01
Livsvetenskaplig forskningsöversikt (Samläsning) (TFKE33 2021-01-11 Lin 1087944),2020,HT,5.0,5.0,5.0,5.0,5.0,5.0,TFKE33
"Livsvillkor - fostran - identitet, fortsättningskurs (740G06 2021-01-18 Nor 934092)",2020,HT,3.62,3.48,3.62,3.71,3.71,3.43,740G06
"Livsvillkor - grannskap - identitet, fortsättningskurs (740G05 2020-09-14 Nor 934086)",2020,HT,3.95,3.71,3.38,3.48,3.45,3.43,740G05
"Livsvillkor - hälsa - identitet , fortsättningskurs (740G02 2020-10-19 Nor 934088)",2020,HT,3.0,2.79,2.92,2.38,3.29,2.52,740G02
Ljudfysik (TFYA65 2020-10-26 Nor 988803),2020,HT,4.33,4.52,4.52,4.22,4.64,4.41,TFYA65
Ljudteknik (Samläsning) (TNM103 2020-10-26 Nor 1089618),2020,HT,4.22,4.0,4.5,3.89,4.12,3.89,TNM103
"Locating Oneself in Global Learning, Part I (LIVLD2 2020-09-14 Ort 942096)",2020,HT,4.4,4.6,4.5,3.8,4.6,4.4,LIVLD2
"Locating Oneself in Global Learning, Part II (LIVLE1 2020-03-09 Ort 944584)",2020,VT,4.75,4.25,4.75,4.75,4.75,4.25,LIVLE1
Logic of Social Inquiry (Co-learning) (771A11 2020-10-19 Nor 1350450),2020,HT,3.9,4.24,4.38,3.9,4.48,4.1,771A11
Logik (Samläsning) (TDDD72 2021-01-11 Lin 1087920),2020,HT,4.42,4.32,4.62,3.64,4.5,3.93,TDDD72
Logik (TDDD88 2021-01-11 Lin 987725),2020,HT,4.67,4.1,4.5,3.81,4.63,3.95,TDDD88
Logik och filosofisk instrumentkurs (705G03 2020-03-23 Lin 932645),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,705G03
Logik och filosofisk instrumentkurs (705G03 2020-10-19 Lin 933420),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,705G03
Logikprogrammering (Samläsning) (TDDD08 2020-10-26 Lin 1086971),2020,HT,3.58,3.5,3.83,2.5,4.0,2.92,TDDD08
Logistics of Airline Companies (TNFL07 2020-06-01 Nor 989572),2020,VT,3.33,3.58,3.42,3.0,3.5,3.0,TNFL07
Logistics Resource Planning (Co-learning) (TNK100 2020-06-01 Nor 1087540),2020,VT,4.33,4.08,4.33,3.83,4.18,3.92,TNK100
Logistik (723G48 2020-06-01 Lin 935150),2020,VT,4.89,4.67,4.78,4.56,4.89,4.56,723G48
Logistik i försörjningskedjor (Samläsning) (TNK114 2020-10-26 Nor 1010399),2020,HT,5.0,4.7,4.7,5.0,4.9,4.8,TNK114
Logistik och hållbar utveckling (Samläsning) (TNSL15 2021-01-11 Nor 1086809),2020,HT,4.52,4.63,4.41,4.15,4.48,4.26,TNSL15
Logistik och kvalitet inom vården (Samläsning) (TETS56 2020-06-01 Lin 1086753),2020,VT,4.39,4.44,4.0,4.17,4.53,4.11,TETS56
Logistik och kvalitetsutveckling (TETS44 2021-01-11 Lin 987804),2020,HT,4.22,4.41,3.52,3.98,4.07,3.83,TETS44
Logistik och lönsamhetsanalys (Samläsning) (TNSL23 2020-03-16 Nor 1096841),2020,VT,4.12,3.94,4.12,3.19,4.25,3.59,TNSL23
Logistikanalys (Samläsning) (TETS57 2020-03-23 Lin 1087907),2020,VT,4.94,4.78,4.78,4.61,4.86,4.69,TETS57
Logistiknätverk och transporter (Samläsning) (TNK099 2020-03-23 Nor 1087010),2020,VT,4.5,4.75,4.25,4.5,4.75,4.0,TNK099
Logistikprojekt (Samläsning) (TETS38 2021-01-11 Lin 1087492),2020,HT,4.7,4.2,4.73,4.27,4.73,4.5,TETS38
Logistikstrategier (Samläsning) (TETS31 2021-01-11 Lin 1087862),2020,HT,4.8,4.6,4.8,4.4,4.8,4.4,TETS31
Low Power Electronics (TS1022 2021-01-09 Lin 1367928),2020,HT,5.0,5.0,4.0,5.0,5.0,4.0,TS1022
Läkarrollen och biologisk funktion (8LAG11 2020-06-01 Lin 937400),2020,VT,4.21,4.07,3.47,3.93,4.0,3.95,8LAG11
Läkarrollen och biologisk funktion (8LAG11 2021-01-11 Lin 937398),2020,HT,3.89,3.91,3.87,3.71,4.16,3.82,8LAG11
Läkemedel och fysioterapi (8FA245 2021-01-11 Lin 936450),2020,HT,4.75,4.5,5.0,4.75,4.5,4.75,8FA245
Ländryggsbesvär - undersökning och behandling (8MM234 2020-10-26 Lin 937594),2020,HT,5.0,5.0,5.0,5.0,4.0,4.0,8MM234
"Ländryggsbesvär - undersökning och behandling (8MM234, 8FA257, 8FYA21 2020-03-23 Lin 923952)",2020,VT,4.17,4.0,4.0,3.33,4.17,3.83,8MM234
"Ländryggsbesvär - undersökning och behandling (8MM234, 8FA257, 8FYA21 2020-03-23 Lin 923952)",2020,VT,4.17,4.0,4.0,3.33,4.17,3.83,8FA257
"Ländryggsbesvär - undersökning och behandling (8MM234, 8FA257, 8FYA21 2020-03-23 Lin 923952)",2020,VT,4.17,4.0,4.0,3.33,4.17,3.83,8FYA21
"Ländryggsbesvär - undersökning och behandling (Samläsning) (8FA257, 8FYA21 2020-10-26 Lin 937260)",2020,HT,4.89,4.33,4.78,4.44,4.56,4.11,8FA257
"Ländryggsbesvär - undersökning och behandling (Samläsning) (8FA257, 8FYA21 2020-10-26 Lin 937260)",2020,HT,4.89,4.33,4.78,4.44,4.56,4.11,8FYA21
Lärande och kompetensutveckling i arbetslivet (759G07 2020-12-07 Lin 933651),2020,HT,4.45,4.19,3.84,3.8,4.22,3.9,759G07
"Lärande och undervisning i hälso- och sjukvårdsutbildningar (Samläsning) (8FA188, 8MM149 2021-01-08 Lin 936478)",2020,HT,4.67,4.67,4.67,4.33,4.67,4.67,8FA188
"Lärande och undervisning i hälso- och sjukvårdsutbildningar (Samläsning) (8FA188, 8MM149 2021-01-08 Lin 936478)",2020,HT,4.67,4.67,4.67,4.33,4.67,4.67,8MM149
Lärande och utveckling (941A10 2021-01-18 Lin 943401),2020,HT,4.58,4.3,4.45,4.27,4.55,4.3,941A10
Lättkonstruktion - lätta konstruktionsmaterial (Samläsning) (TMKM09 2020-06-01 Lin 1086992),2020,VT,4.0,3.88,4.38,3.75,4.57,3.88,TMKM09
Machine Learning (732A99 2021-01-11 Lin 1269988),2020,HT,3.36,3.07,3.29,2.93,3.38,2.86,732A99
Machine Learning (732A99 2021-01-11 Lin 933880),2020,HT,3.67,2.5,3.17,2.17,3.0,2.33,732A99
Machine Learning (Co-learning) (TDDE01 2021-01-11 Lin 1087040),2020,HT,3.49,3.33,4.02,2.79,3.84,3.15,TDDE01
Machine Learning for Social Media (Co-learning) (TNM108 2021-01-11 Nor 1098597),2020,HT,4.33,4.43,4.71,4.0,4.83,4.29,TNM108
Magisterkurs i engelska (711A03 2020-06-01 Lin 704099),2020,VT,4.0,3.0,3.0,5.0,3.0,3.0,711A03
Magisterkurs i litteraturvetenskap (716A11 2020-06-01 Lin 704139),2020,VT,0.0,0.0,0.0,0.0,0.0,3.0,716A11
Magisterkurs i svenska språket: Tillämpad språkvetenskap (714A03 2020-06-01 Lin 703931),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,714A03
Magisterprojekt i kultur- och mediegestaltning (739A62 2020-06-01 Nor 922096),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,739A62
Magisteruppsats (725A22 2020-06-01 Lin 934298),2020,VT,3.5,3.8,3.8,3.2,4.4,3.2,725A22
"Magisteruppsats i Företagsekonomi (Samläsning) (722A36, 722A42 2020-06-01 Lin 927965)",2020,VT,3.5,2.5,3.5,3.0,4.0,3.0,722A36
"Magisteruppsats i Företagsekonomi (Samläsning) (722A36, 722A42 2020-06-01 Lin 927965)",2020,VT,3.5,2.5,3.5,3.0,4.0,3.0,722A42
Magisteruppsats i socialt arbete (745A49 2020-06-01 Nor 927747),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,745A49
Magisteruppsats i socialt arbete (745A49 2020-09-28 Nor 1193818),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,745A49
Magisteruppsats i Statsvetenskap (733A63 2020-06-01 Lin 934450),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,733A63
Makroekonomi (730G43 2020-06-01 Lin 1264914),2020,VT,4.26,4.26,3.87,4.21,4.28,3.95,730G43
Makroekonomi (730G71 2020-03-23 Lin 929524),2020,VT,4.36,4.4,4.0,4.28,4.26,4.12,730G71
Makroekonomi (730G71 2020-11-23 Lin 932199),2020,HT,2.78,2.77,3.04,1.89,3.33,2.33,730G71
Makroekonomi (Samläsning) (730G61 2020-10-12 Lin 933902),2020,HT,3.94,3.53,4.24,2.79,4.11,3.52,730G61
Makroekonomisk teori (Samläsning) (730A33 2021-01-18 Lin 1267163),2020,HT,4.33,4.0,4.22,4.0,4.0,3.89,730A33
Makroekonomisk teori och politik (Samläsning) (770G20 2020-11-23 Lin 1267079),2020,HT,3.78,3.56,4.25,3.44,4.11,3.44,770G20
"Management Control (Co-learning) (723G72, 723G71 2020-02-17 Lin 1087156)",2020,VT,4.09,4.09,4.0,4.2,4.45,3.82,723G72
"Management Control (Co-learning) (723G72, 723G71 2020-02-17 Lin 1087156)",2020,VT,4.09,4.09,4.0,4.2,4.45,3.82,723G71
"Management Control Systems (Co-learning) (722A46, 722A59 2020-03-23 Lin 1087409)",2020,VT,4.13,3.67,3.87,2.87,3.79,3.33,722A46
"Management Control Systems (Co-learning) (722A46, 722A59 2020-03-23 Lin 1087409)",2020,VT,4.13,3.67,3.87,2.87,3.79,3.33,722A59
Management Systems and Sustainability (Co-learning) (TKMJ28 2021-01-11 Lin 1086793),2020,HT,4.56,4.56,4.67,4.11,4.56,4.22,TKMJ28
Manufacturing Planning and Control (TPPE82 2021-01-11 Lin 984863),2020,HT,3.69,3.64,3.5,3.79,3.91,3.57,TPPE82
Market Awareness in International Crossmedia Design and Production (TEAE16 2021-01-11 Nor 989651),2020,HT,4.6,4.8,4.2,4.2,4.75,3.6,TEAE16
"Marketing and Consumer Behaviour (Co-learning) (723G44, 723G61 2020-02-17 Lin 1087992)",2020,VT,4.33,4.0,4.33,4.0,4.17,4.17,723G44
"Marketing and Consumer Behaviour (Co-learning) (723G44, 723G61 2020-02-17 Lin 1087992)",2020,VT,4.33,4.0,4.33,4.0,4.17,4.17,723G61
Marketing Management (Co-learning) (TEIM33 2020-03-23 Lin 1103088),2020,VT,4.0,4.0,4.17,4.0,4.67,4.17,TEIM33
Markfordonsmekanik (Samläsning) (TMME11 2020-06-01 Lin 1087334),2020,VT,4.65,4.47,4.35,4.12,4.62,4.06,TMME11
Marknadsekonomins grunder (730G68 2020-11-23 Lin 933675),2020,HT,4.12,3.86,4.27,3.2,4.33,3.57,730G68
Marknadsekonomins grunder (730G70 2020-02-17 Lin 932795),2020,VT,4.1,4.2,4.4,3.5,4.3,3.6,730G70
Marknadsekonomins grunder (730G70 2020-09-14 Lin 932312),2020,HT,3.82,3.58,3.83,3.08,3.91,3.75,730G70
Marknadsföring (722G83 2020-11-23 Lin 930756),2020,HT,4.23,4.17,4.19,3.83,4.34,3.95,722G83
Marknadsföring (722G93 2020-03-30 Lin 1264920),2020,VT,4.04,3.9,3.41,3.52,3.79,3.52,722G93
Marknadsföring (Samläsning) (722G86 2020-10-26 Lin 1087883),2020,HT,4.25,4.25,4.28,3.33,4.28,3.86,722G86
Marknadskommunikation och analys (Samläsning) (TEAE14 2020-06-01 Nor 1087379),2020,VT,3.93,3.27,4.0,2.47,3.86,3.53,TEAE14
Marknadskommunikativt designprojekt (TNGD45 2021-01-11 Nor 985954),2020,HT,4.0,3.82,4.33,3.0,4.27,3.85,TNGD45
Marknadsstruktur och företagsstrategi (Samläsning) (730G95 2020-02-17 Lin 928976),2020,VT,4.43,4.57,4.0,4.43,4.43,3.71,730G95
Maskinelement (Samläsning) (TMKT39 2021-01-11 Lin 1087824),2020,HT,4.54,4.51,4.16,4.57,4.45,4.34,TMKT39
Maskinelement (TMMI16 2020-06-01 Lin 989489),2020,VT,4.56,4.44,4.56,4.35,4.47,4.29,TMMI16
"Maskinelement, fortsättningskurs (Samläsning) (TMME14 2020-10-26 Lin 1087244)",2020,HT,4.65,4.44,4.82,4.12,4.69,4.47,TMME14
Master Thesis (722A31 2020-06-01 Lin 934798),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,722A31
Master Thesis in Gender Studies (757A12 2020-06-01 Lin 934266),2020,VT,4.33,4.71,4.25,4.12,4.5,4.11,757A12
Master Thesis in Gender Studies (757A37 2020-06-01 Lin 1096285),2020,VT,4.33,4.0,4.0,4.0,4.33,4.0,757A37
Master Thesis in Statistics (732A64 2020-06-01 Lin 1265659),2020,VT,4.1,4.09,4.27,4.0,4.6,4.09,732A64
Master's Thesis (721A40 2020-06-01 Lin 934264),2020,VT,3.33,2.33,2.0,1.67,1.5,2.0,721A40
Master’s Thesis in Child Studies (two year) (736A38 2020-06-01 Lin 1096033),2020,VT,4.33,4.0,4.0,3.67,4.33,4.0,736A38
Master’s Thesis in Computational Social Science (771A35 2020-06-01 Nor 1266181),2020,VT,3.2,1.8,3.75,2.25,2.8,2.8,771A35
Master’s Thesis in Ethnic and Migration Studies (742A36 2020-06-01 Nor 934794),2020,VT,4.5,4.33,4.5,4.33,4.83,4.5,742A36
Master’s Thesis in Science for Sustainable Development (746A55 2020-06-01 Lin 934808),2020,VT,4.17,3.83,3.5,3.67,4.17,3.83,746A55
Master´s Thesis (one year) (736A41 2020-06-01 Lin 1266132),2020,VT,4.43,4.14,4.71,4.43,4.5,4.57,736A41
Masters Thesis (733A27 2020-06-01 Lin 1103059),2020,VT,4.33,4.0,4.67,4.0,4.67,4.0,733A27
Masteruppsats (725A33 2020-06-01 Lin 934800),2020,VT,3.8,3.2,4.0,2.25,3.8,3.4,725A33
Masteruppsats (729A80 2020-06-01 Lin 1266272),2020,VT,4.5,3.0,4.5,4.0,4.0,3.5,729A80
Masteruppsats (759A35 2020-06-01 Lin 934796),2020,VT,5.0,5.0,5.0,5.0,4.5,5.0,759A35
Masteruppsats (Samläsning) (747A28 2020-03-23 Lin 1012336),2020,VT,3.87,3.62,4.25,3.25,4.47,3.44,747A28
Masteruppsats i konstvetenskap och visuell kommunikation (775A37 2020-06-01 Lin 922726),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,775A37
Masteruppsats i socialt arbete (745A50 2020-06-01 Nor 927754),2020,VT,5.0,4.33,5.0,4.67,5.0,4.33,745A50
Masteruppsats i Statsvetenskap (733A67 2020-06-01 Lin 934806),2020,VT,4.25,4.25,4.75,4.25,4.5,4.5,733A67
Matematik (91-105 hp) (9AMA73 2020-10-19 Lin 1354600),2020,HT,4.57,4.0,3.88,3.75,4.38,3.5,9AMA73
Matematik (Samläsning) (TNSL01 2021-01-11 Nor 1087018),2020,HT,4.45,4.42,4.45,4.0,4.53,3.97,TNSL01
Matematik 1 (972G10 2020-03-23 Lin 944552),2020,VT,4.32,4.48,4.41,4.23,4.19,3.73,972G10
Matematik 1 (972G10 2020-03-23 Nor 944564),2020,VT,4.38,4.22,4.67,4.33,4.56,4.0,972G10
Matematik 1 (973G10 2020-06-01 Lin 944537),2020,VT,4.3,3.9,4.0,3.8,4.11,3.9,973G10
Matematik 2 (972G11 2020-06-01 Lin 944554),2020,VT,2.81,2.75,3.73,2.25,3.69,2.81,972G11
Matematik 2 (972G11 2020-06-01 Nor 944566),2020,VT,3.33,2.33,3.33,2.33,5.0,2.67,972G11
Matematik 2 (973G11 2020-10-19 Lin 944533),2020,HT,2.52,2.2,2.6,1.88,2.87,2.04,973G11
Matematik 3C för basår (BML301 2020-10-26 Lin 984996),2020,HT,4.31,4.24,4.24,3.92,4.43,4.01,BML301
Matematik 3C för basår (BMN301 2020-10-26 Nor 985003),2020,HT,4.05,4.16,4.18,3.85,4.27,3.82,BMN301
Matematik 4 för basår (BML401 2020-03-23 Lin 987674),2020,VT,4.77,4.54,4.46,4.42,4.4,4.31,BML401
Matematik 4 för basår (BMN401 2020-03-23 Nor 987688),2020,VT,4.85,4.85,4.85,4.77,4.92,4.85,BMN401
Matematik specialisering för basår (BML402 2020-06-01 Lin 987684),2020,VT,4.73,4.81,4.88,4.44,4.79,4.44,BML402
Matematik specialisering för basår (BMN402 2020-06-01 Nor 987698),2020,VT,5.0,5.0,5.0,4.14,4.57,4.43,BMN402
"Matematik, fortsättningskurs (NMAA07 2020-03-23 Lin 986017)",2020,VT,4.0,5.0,3.0,5.0,3.0,4.0,NMAA07
"Matematik, verksamhetsförlagd utbildning (972G38 2020-05-04 Lin 944562)",2020,VT,4.14,4.0,4.14,3.86,4.33,4.14,972G38
"Matematik, verksamhetsförlagd utbildning (972G38 2020-05-04 Nor 944574)",2020,VT,3.0,3.0,3.33,3.0,3.0,3.0,972G38
"Matematik, Verksamhetsförlagd utbildning (973G41 2020-09-21 Lin 944550)",2020,HT,3.67,3.75,3.67,3.82,3.45,3.83,973G41
Matematik: Diskret matematik (76-83 hp) (Samläsning) (9GMA10 2020-06-01 Lin 1086914),2020,VT,4.67,4.0,5.0,3.33,4.67,3.33,9GMA10
Matematik: Envariabelanalys 1 (Samläsning) (91MA14 2021-01-18 Lin 1101553),2020,HT,4.0,3.86,4.29,3.29,4.33,3.71,91MA14
Matematik: Envariabelanalys 1 (Samläsning) (92MA14 2021-01-18 Lin 1087970),2020,HT,3.67,3.67,4.33,3.33,4.5,3.33,92MA14
Matematik: Envariabelanalys 2 (Samläsning) (9GMA04 2020-03-16 Lin 1087045),2020,VT,4.6,4.6,4.5,4.0,4.8,4.17,9GMA04
Matematik: Flervariabelanalys (Samläsning) (9GMA06 2020-06-01 Lin 1087521),2020,VT,3.0,3.5,0.0,3.5,0.0,3.5,9GMA06
Matematik: Flervariabelanalys (Samläsning) (9GMA08 2020-06-01 Lin 1087043),2020,VT,3.0,2.0,3.0,2.25,4.0,2.5,9GMA08
Matematik: Geometri (Samläsning) (92MA12 2020-09-07 Lin 1087265),2020,HT,4.0,3.11,3.89,3.0,4.5,3.33,92MA12
Matematik: Linjär algebra (Samläsning) (91MA15 2021-01-18 Lin 1099472),2020,HT,4.14,4.25,3.71,3.62,4.4,3.75,91MA15
Matematik: Linjär algebra (Samläsning) (92MA15 2021-01-18 Lin 1086994),2020,HT,3.33,3.67,3.67,3.67,5.0,3.0,92MA15
Matematik: Matematikdidaktik 1 (Samläsning) (91MA16 2021-01-18 Lin 1099484),2020,HT,4.78,4.89,4.67,4.67,4.67,4.44,91MA16
Matematik: Matematikdidaktik 1 (Samläsning) (92MA16 2021-01-18 Lin 1086976),2020,HT,4.0,4.0,3.33,4.67,5.0,4.0,92MA16
Matematik: Matematikdidaktik 2 (91MA33 2020-06-01 Lin 942730),2020,VT,4.0,4.0,4.0,3.0,4.0,4.0,91MA33
Matematik: Matematikdidaktik 2 (91MA39 2020-06-01 Lin 942364),2020,VT,5.0,5.0,5.0,5.0,5.0,4.5,91MA39
Matematik: Matematikdidaktik 2 (Samläsning) (92MA33 2020-06-01 Lin 1087377),2020,VT,4.5,4.0,4.33,3.33,4.0,4.0,92MA33
Matematik: Matematikdidaktik 2 (Samläsning) (92MA39 2020-06-01 Lin 1086945),2020,VT,5.0,5.0,5.0,5.0,0.0,5.0,92MA39
Matematik: Matematikdidaktik 3 (Samläsning) (93MA52 2020-06-01 Lin 1087003),2020,VT,3.83,3.17,3.33,2.5,3.8,2.83,93MA52
Matematik: Matematisk grundkurs (Samläsning) (91MA13 2020-10-26 Lin 1087437),2020,HT,4.5,4.67,4.75,4.08,4.7,4.25,91MA13
Matematik: Matematisk grundkurs (Samläsning) (92MA13 2020-10-26 Lin 1087064),2020,HT,4.2,4.0,4.33,3.5,4.17,4.0,92MA13
"Matematik: Optimeringslära, grundkurs (Samläsning) (93MA53 2020-06-01 Lin 1086947)",2020,VT,4.5,4.17,4.0,4.17,4.4,4.0,93MA53
Matematik: Programmering med matematisk och ämnesdidaktisk specialisering (Samläsning) (91MA32 2020-06-01 Lin 1087465),2020,VT,2.5,3.0,3.33,3.0,3.0,2.67,91MA32
Matematik: Programmering med matematisk och ämnesdidaktisk specialisering (Samläsning) (92MA32 2020-06-01 Lin 1086795),2020,VT,4.67,4.25,4.0,3.75,5.0,4.25,92MA32
Matematik: Statistik (Samläsning) (9GMA05 2020-03-23 Lin 1087317),2020,VT,4.0,3.89,4.11,3.56,4.11,3.78,9GMA05
Matematik: Transformteori (Samläsning) (93MA54 2020-06-01 Lin 1087184),2020,VT,3.29,3.0,4.2,2.43,4.5,2.57,93MA54
Matematik: Verksamhetsförlagd utbildning (17-18 hp) (Samläsning) (92MAV1 2021-01-18 Lin 1087129),2020,HT,3.0,3.0,3.0,3.0,0.0,3.0,92MAV1
Matematik: verksamhetsförlagd utbildning (69-74 hp) (Samläsning) (93MAV3 2020-06-01 Lin 1087769),2020,VT,4.75,5.0,5.0,5.0,4.75,5.0,93MAV3
Matematik: Verksamhetsförlagd utbildning (91MAV9 2020-06-01 Lin 942326),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,91MAV9
Matematik: Verksamhetsförlagd utbildning (Samläsning) (91MAV1 2020-10-05 Lin 1087908),2020,HT,5.0,4.57,4.43,4.86,4.33,4.29,91MAV1
Matematik: Verksamhetsförlagd utbildning (Samläsning) (92MAV9 2020-06-01 Lin 1087121),2020,VT,5.0,5.0,5.0,5.0,5.0,5.0,92MAV9
Matematikdidaktik åk 4-6 (9FVG07 2021-01-18 Lin 1194169),2020,HT,4.64,4.36,4.45,4.45,4.64,4.36,9FVG07
Matematikdidaktik åk F-3 (9FVG06 2021-01-18 Lin 1194166),2020,HT,4.91,4.71,4.82,4.77,4.77,4.77,9FVG06
Matematiklärande i förskolan (970G11 2021-01-12 Hul 1097553),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,970G11
Matematiklärande i förskolan (970G11 2021-01-12 Vim 1097551),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,970G11
Matematiklärande i förskolan (970G11 2021-01-12 Väs 1097549),2020,HT,4.6,4.7,4.5,4.7,4.5,4.4,970G11
Matematiklärande i förskolan (970G11 2021-01-18 Nor 942984),2020,HT,4.42,4.24,4.46,3.96,4.19,3.92,970G11
Matematiklärande i förskolan (9U0008 2021-01-18 Lin 1102193),2020,HT,4.94,4.88,5.0,4.75,4.94,4.81,9U0008
Matematikprojekt (TANA81 2020-06-01 Lin 986091),2020,VT,4.5,4.0,4.5,4.0,4.0,4.0,TANA81
