Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
Advanced Programming in R (732A94 2020-10-26 Lin 930602),2020,HT,2.0,1.0,2.0,2.0,2.0,1.0,732A94
Advanced Programming in R (732A94 2020-10-26 Lin 933884),2020,HT,4.33,3.67,4.5,3.33,4.5,3.83,732A94
Advanced Project Course - AI and Machine Learning (Co-learning) (TDDE19 2021-01-11 Lin 1087972),2020,HT,3.5,4.25,5.0,1.75,4.0,3.0,TDDE19
"Advanced Project Course - Game, App and Web Development (Co-learning) (TDDE20 2021-01-11 Lin 1087593)",2020,HT,3.25,3.25,3.5,2.25,3.33,2.75,TDDE20
Advanced Project Course in Ecosystem Service Valuation (Co-learning) (TFBI17 2021-01-11 Lin 1086961),2020,HT,4.44,3.9,4.56,4.0,4.56,4.1,TFBI17
Advanced Project Course: Secure Distributed and Embedded Systems (Co-learning) (TDDE21 2021-01-11 Lin 1087141),2020,HT,4.5,4.75,4.75,4.75,5.0,4.75,TDDE21
Advanced Visualization Design (TNM101 2020-10-26 Nor 984750),2020,HT,5.0,5.0,4.8,4.8,5.0,4.8,TNM101
Advanced Web Programming (Co-learning) (TDDD27 2020-06-01 Lin 1086998),2020,VT,4.41,4.14,4.73,4.0,4.73,4.47,TDDD27
"Aerodynamics, Continued Course (Co-learning) (TMMV56 2020-06-01 Lin 1087011)",2020,VT,4.0,4.0,4.0,4.0,4.0,3.8,TMMV56
Aerodynamik (Samläsning) (TMMV01 2020-10-26 Lin 1087914),2020,HT,4.68,4.53,4.74,4.37,4.79,4.68,TMMV01
Affective Engineering (Co-learning) (TMKT71 2021-01-11 Lin 1087315),2020,HT,4.67,4.57,4.4,4.6,4.69,4.53,TMKT71
